시도명,구시군명,선거명,기초의원들
경남,의령군,구시군의원,새누리당 오용 / 새누리당 강영원 / 무소속 전병원 / 새누리당 김철호 / 무소속 서철진 / 새누리당 손호현 / 새누리당 손태영 / 새누리당 문봉도 / 무소속 김규찬 / 
경남,의령군,구시군장,무소속 오영호 / 
경남,의령군,기초의원비례대표,새누리당 김봉남 / 
경남,진주시,구시군의원,새누리당 정영재 / 무소속 천효운 / 새누리당 조현신 / 새누리당 박미경 / 통합진보당 류재수 / 새누리당 심현보 / 무소속 구자경 / 새누리당 이성환 / 무소속 서은애 / 새누리당 이인기 / 새누리당 정철규 / 새누리당 심광영 / 무소속 강갑중 / 무소속 강민아 / 새누리당 김홍규 / 무소속 서정인 / 새누리당 남정만 / 새누리당 강길선 / 
경남,진주시,구시군장,새누리당 이창희 / 
경남,진주시,기초의원비례대표,새누리당 류영주 / 새정치민주연합 허정림 / 
경남,창녕군,구시군의원,새누리당 박재홍 / 새누리당 안홍욱 / 새누리당 김우식 / 새누리당 손태환 / 새누리당 이기호 / 새누리당 이상주 / 무소속 장희용 / 새누리당 박상재 / 새누리당 이칠봉 / 
경남,창녕군,구시군장,새누리당 김충식 / 
경남,창녕군,기초의원비례대표,새누리당 유영숙 / 새정치민주연합 서경순 / 
경남,창원시마산합포구,구시군의원,새누리당 김이근 / 새누리당 이천수 / 새누리당 정쌍학 / 무소속 이옥선 / 새누리당 박옥순 / 새누리당 김재철 / 새누리당 황일두 / 새누리당 김순식 / 
경남,창원시마산회원구,구시군의원,새누리당 노종래 / 통합진보당 송순호 / 새누리당 노판식 / 새정치민주연합 김종대 / 새누리당 조영명 / 새누리당 이상인 / 새정치민주연합 손태화 / 
경남,창원시성산구,구시군의원,새누리당 이찬호 / 통합진보당 정영주 / 새누리당 강호상 / 새정치민주연합 김삼모 / 무소속 노창섭 / 새누리당 강장순 / 통합진보당 김석규 / 
경남,창원시의창구,구시군의원,새누리당 김우돌 / 새누리당 김동수 / 새정치민주연합 김장하 / 새누리당 방종근 / 새정치민주연합 주철우 / 통합진보당 강영희 / 새누리당 이희철 / 새정치민주연합 공창섭 / 
경남,창원시의창구,구시군장,새누리당 안상수 / 
경남,창원시의창구,기초의원비례대표,새누리당 김영미 / 새누리당 배여진 / 새누리당 배옥숙 / 새정치민주연합 한은정 / 새정치민주연합 이민희 / 
경남,창원시진해구,구시군의원,새누리당 유원석 / 새누리당 김헌일 / 새누리당 박춘덕 / 새누리당 김성일 / 새누리당 이치우 / 무소속 김하용 / 새누리당 이해련 / 새누리당 전수명 / 
